ID	ProcessClass_ID	TransferClass_ID	Equipment_ID	SignalName	TagAddress	ValueType	Direction	Description	LastSaved	ConfiguredBy
87	13	NULL	155	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:29:20.600	TPMDB
88	13	NULL	155	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:29:20.600	TPMDB
89	13	NULL	155	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:29:20.600	TPMDB
90	13	NULL	155	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:29:20.600	TPMDB
91	16	NULL	169	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:31:12.720	TPMDB
92	16	NULL	169	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:31:12.720	TPMDB
93	16	NULL	169	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:31:12.720	TPMDB
94	16	NULL	169	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:31:12.720	TPMDB
95	16	NULL	169	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:31:12.720	TPMDB
96	16	NULL	170	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:31:18.467	TPMDB
97	16	NULL	170	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:31:18.467	TPMDB
98	16	NULL	170	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:31:18.467	TPMDB
99	16	NULL	170	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:31:18.467	TPMDB
100	16	NULL	170	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:31:18.467	TPMDB
101	16	NULL	171	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:31:23.247	TPMDB
102	16	NULL	171	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:31:23.247	TPMDB
103	16	NULL	171	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:31:23.247	TPMDB
104	16	NULL	171	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:31:23.247	TPMDB
105	16	NULL	171	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:31:23.247	TPMDB
106	12	NULL	172	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:32:24.010	TPMDB
107	12	NULL	172	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:32:24.010	TPMDB
108	12	NULL	172	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:32:24.010	TPMDB
109	12	NULL	172	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:32:24.010	TPMDB
110	12	NULL	172	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:32:24.010	TPMDB
111	12	NULL	173	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:32:31.830	TPMDB
112	12	NULL	173	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:32:31.830	TPMDB
113	12	NULL	173	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:32:31.830	TPMDB
114	12	NULL	173	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:32:31.830	TPMDB
115	12	NULL	173	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:32:31.830	TPMDB
116	12	NULL	174	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:32:37.070	TPMDB
117	12	NULL	174	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:32:37.070	TPMDB
118	12	NULL	174	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:32:37.070	TPMDB
119	12	NULL	174	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:32:37.070	TPMDB
120	12	NULL	174	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:32:37.070	TPMDB
121	18	NULL	175	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:33:06.727	TPMDB
122	18	NULL	175	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:33:06.727	TPMDB
123	18	NULL	175	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:33:06.727	TPMDB
124	18	NULL	175	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:33:06.727	TPMDB
125	18	NULL	175	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:33:06.727	TPMDB
126	18	NULL	179	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:33:16.793	TPMDB
127	18	NULL	179	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:33:16.793	TPMDB
128	18	NULL	179	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:33:16.793	TPMDB
129	18	NULL	179	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:33:16.793	TPMDB
130	18	NULL	179	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:33:16.793	TPMDB
131	18	NULL	183	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-14 18:33:21.957	TPMDB
132	18	NULL	183	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-14 18:33:21.957	TPMDB
133	18	NULL	183	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-14 18:33:21.957	TPMDB
134	18	NULL	183	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-14 18:33:21.957	TPMDB
135	18	NULL	183	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-14 18:33:21.957	TPMDB
136	10	NULL	264	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.427	TPMDB
137	10	NULL	264	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.427	TPMDB
138	10	NULL	264	TargetAmount	NULL	REAL	OUT	RH => PLC, Target amount to produce.	2022-02-24 19:19:17.427	TPMDB
139	10	NULL	264	TargetAmountNominal	NULL	REAL	OUT	RH => PLC, Master recipe nominal target amount.	2022-02-24 19:19:17.427	TPMDB
140	10	NULL	264	IsMainBatchUnit	NULL	DINT	OUT	RH => PLC, Is main batch unit.(1/0)	2022-02-24 19:19:17.427	TPMDB
141	10	NULL	273	BatchID	NULL	DINT	OUT	RH => PLC, ID of the producing Batch.	2022-02-24 19:19:17.427	TPMDB
142	10	NULL	273	MaterialID	NULL	DINT	OUT	RH => PLC, Material ID to produce.	2022-02-24 19:19:17.427	TPMDB
